ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,consent,instr_gen,instr_purp,instr_art,Headache,head_time_1,head_time_2,head_time_3,head_time_4,head_q1,head_q2,head_q3,head_check,Nuclear,nuc_time_1,nuc_time_2,nuc_time_3,nuc_time_4,nuc_q1,nuc_q2,nuc_q3,nuc_check,Scanners,scan_time_1,scan_time_2,scan_time_3,scan_time_4,scan_q1,scan_q2,scan_q3,scan_check,TMS,tms_time_1,tms_time_2,tms_time_3,tms_time_4,tms_q1,tms_q2,tms_q3,tms_check,instr_scen,Scenario,sentence,blame_1,free_will_1,free_will_2,free_will_3,free_will_4,free_will_5,free_will_6,free_will_7,panas_1,panas_2,panas_3,panas_4,panas_5,panas_6,panas_7,panas_8,panas_9,panas_10,panas_11,panas_12,panas_13,panas_14,panas_15,panas_16,panas_17,panas_18,panas_19,panas_20,instr_dem,gender,age,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_7_TEXT,education_1,relig_1,Q26,politics_1,politics_2,politics_3,susp_open,susp_rel_1,instr_debr,LocationLatitude,LocationLongitude,LocationAccuracy
R_bdvy3QBkz6SL6hz,Default Response Set,Anonymous,,,71.93.210.38,0,3/11/15 9:31,3/11/15 9:38,1,1,1,1,1,1,0,0,11.477,0,4,5,1,3,1,0,0,8.783,0,4,4,3,1,,,,,,,,,,,,,,,,,,,1,1,1,3,4,5,4,4,5,4,4,4,2,3,2,1,2,3,3,2,2,1,2,2,4,3,2,1,2,3,3,1,2,41,1,,,,,,,,7,2,2,6,5,4,It might be about crime and punishment.,4,1,33.75419617,-118.2019043,-1
R_1NfgfUEuGg8pVhp,Default Response Set,Anonymous,,,69.85.228.19,0,3/11/15 9:31,3/11/15 9:39,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,109.866,0,2,4,1,2,1,0,0,66.899,0,2,4,1,2,1,1,7,7,4,5,4,5,4,5,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,4,1,1,1,1,2,54,1,,,,,,,,6,1,2,4,4,4,I don't know on both studies.,1,1,30.66000366,-88.04540253,-1
R_3kebyMEKueGXptU,Default Response Set,Anonymous,,,171.159.192.10,0,3/11/15 9:29,3/11/15 9:39,1,1,1,1,1,1,0,0,85.007,0,4,4,1,2,1,0,0,119.289,0,2,3,1,2,,,,,,,,,,,,,,,,,,,1,1,5,7,3,5,2,2,2,4,2,4,2,2,1,2,1,1,1,2,1,1,4,1,1,1,2,4,1,4,1,1,2,50,1,,,,,,,,9,1,7,4,3,5,"First part - the impact of complexity on how interested individuals are in a scientific article, second part - how responsible people are for their actions and/or is criminal sentencing about rehab, punishment or both.",2,1,38.0032959,-122.0317993,-1
R_1OAKGDTmLSYxjDU,Default Response Set,Anonymous,,,98.206.173.66,0,3/11/15 9:30,3/11/15 9:39,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,105.077,0,5,3,2,2,1,0,0,100.066,0,5,2,2,2,1,1,1,3,3,4,5,5,5,3,3,5,2,3,2,1,1,1,1,3,4,1,2,1,3,2,5,5,2,5,1,1,2,23,1,,,,,,,,5,5,3,5,3,4,thinking and thought our thoughts our about,3,1,42.05690002,-86.45629883,-1
R_2ANkTMSdsL34Svw,Default Response Set,Anonymous,,,162.198.41.4,0,3/11/15 9:33,3/11/15 9:40,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,85.979,0,2,4,2,2,1,0,0,70.027,0,2,2,3,2,1,1,2,6,4,5,4,5,4,4,2,3,2,1,1,2,1,2,1,3,3,2,3,1,2,2,3,3,1,1,1,1,1,29,1,,,,,,,,4,1,2,4,4,4,General opinion,1,1,26.34840393,-80.21869659,-1
R_2Vn04SJU9XtUqeA,Default Response Set,Anonymous,,,74.250.166.3,0,3/11/15 9:29,3/11/15 9:41,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,6.356,14.244,66.689,2,3,4,2,2,1,4.672,4.672,62.569,1,4,5,1,2,1,1,3,7,4,4,4,4,4,4,3,3,1,1,1,2,1,1,1,1,1,1,4,1,1,1,3,4,1,2,1,1,2,37,1,,,,,,,,4,1,2,4,2,6,"Truly, I do not know as research is not my field of expertise. If I guessed it may be about perception of responsibility for behavior. / ",5,1,35.39019775,-82.37249756,-1
R_3nPkqi9qCVGvMwl,Default Response Set,Anonymous,,,75.109.144.109,0,3/11/15 9:29,3/11/15 9:41,1,1,1,1,1,1,0.04,124.177,128.834,3,1,4,1,2,1,4.493,124.084,144.949,7,1,2,1,2,,,,,,,,,,,,,,,,,,,1,1,1,7,4,5,1,4,3,4,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,2,1,1,1,35,1,,,,,,,,6,1,1,1,1,2,"I have no idea what you're even asking here. I read some articles and answered a variety of questions. I wasn't even aware there were two different studies, and I have no clue what you mean by ""question of interest.""",5,1,35.51269531,-77.41459656,-1
R_2saRuB1BVYkJtBA,Default Response Set,Anonymous,,,71.225.78.44,0,3/11/15 9:29,3/11/15 9:41,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,98.824,0,2,4,1,2,1,0,0,96.044,0,2,4,1,2,1,1,2,7,3,4,4,4,4,3,3,3,2,2,1,2,1,1,1,1,2,1,4,1,1,1,3,5,1,2,1,1,2,55,1,,,,,,,,4,1,2,3,3,3,To see if some one would enjoy reading science material and how people judge on a jury,4,1,39.73510742,-75.66840363,-1
R_3Gsar6Kvoe3lWYM,Default Response Set,Anonymous,,,65.35.222.45,0,3/11/15 9:29,3/11/15 9:41,1,1,1,1,1,1,0,0,164.014,0,5,5,1,2,1,14.133,184.301,185.506,4,5,4,1,2,,,,,,,,,,,,,,,,,,,1,1,1,4,5,5,5,5,5,4,5,5,1,1,1,3,1,1,1,1,3,1,5,1,1,1,5,5,1,3,1,1,1,32,1,,,,,,,,9,1,3,4,4,4,"First study was how we felt about nuclear power and Alternative Medicine. The second was about our ability to act a juror and make a solid decision. To be honest, I have no clue.",1,1,27.90029907,-82.30239868,-1
R_a4VcNnPBoZeyJVz,Default Response Set,Anonymous,,,98.214.27.207,0,3/11/15 9:30,3/11/15 9:41,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,108.702,0,2,3,1,2,1,0,0,99.194,0,3,3,1,2,1,1,2,5,4,4,2,4,4,4,4,5,2,1,1,3,1,1,1,3,2,1,5,1,4,1,4,4,1,3,1,1,1,64,1,,,,,,,,5,1,2,4,4,4,"Scientific opinions, criminal punishment opinions",1,1,42.32380676,-89.62180328,-1
R_3krFlaTHYZrydDL,Default Response Set,Anonymous,,,76.98.42.200,0,3/11/15 9:34,3/11/15 9:43,1,1,1,1,1,1,0,0,63.613,0,4,4,1,2,1,50.894,50.894,61.539,1,3,4,1,2,,,,,,,,,,,,,,,,,,,1,1,1,4,3,3,4,2,3,2,4,4,1,4,1,4,1,1,1,4,4,1,4,4,4,1,3,4,1,4,1,1,1,25,,,,,1,,,,3,1,2,4,4,4,perception of behavior,3,1,40.01919556,-75.09400177,-1
R_1eXWqi7HuWy1uyh,Default Response Set,Anonymous,,,184.77.1.143,0,3/11/15 9:36,3/11/15 9:43,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,42.056,42.056,45.363,1,5,4,2,2,1,0,0,64.816,0,5,4,1,2,1,1,1,6,4,5,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,28,1,,1,,,,,,7,1,1,2,1,4,I don't know.,4,1,33.77729797,-84.33660126,-1
R_2bK4jZ4ozyLJz7u,Default Response Set,Anonymous,,,75.109.76.236,0,3/11/15 9:31,3/11/15 9:43,1,1,1,1,1,1,0.181,84.868,85.898,4,3,4,1,2,1,1.644,121.341,131.449,5,4,3,2,2,,,,,,,,,,,,,,,,,,,1,1,3,6,4,4,3,4,4,4,4,3,1,2,1,2,1,1,1,2,2,1,3,1,2,1,3,3,1,3,1,1,1,54,1,,,,,,,,8,5,3,6,6,6,How we understand what we read and what we are like.,3,1,35.58050537,-77.01270294,-1
R_uey2QZGnfzazYZz,Default Response Set,Anonymous,,,71.237.43.214,0,3/11/15 9:33,3/11/15 9:44,1,1,1,1,1,1,0,0,140.808,0,5,5,1,2,1,0,0,92.652,0,3,4,2,2,,,,,,,,,,,,,,,,,,,1,1,2,4,2,4,2,2,2,1,1,5,2,3,1,3,4,2,1,2,1,1,4,1,2,3,3,3,2,2,2,1,2,26,1,,,,,,,,7,2,2,2,1,2,The first study was views on articles about different types of topics. The second study was interested in how blameworthy participants in general felt the common criminal is.,3,1,39.67700195,-104.9646988,-1
R_2f3zRfwSwNstqe1,Default Response Set,Anonymous,,,205.178.105.6,0,3/11/15 9:33,3/11/15 9:44,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,101.718,0,3,2,2,2,1,0,0,91.893,0,3,4,1,2,1,1,3,5,3,4,2,3,3,4,2,2,1,1,1,4,1,1,1,2,3,1,5,1,1,1,4,5,1,3,1,1,1,66,1,,,,,,,,3,1,2,2,2,2,My best guess is that researchers in the first study were trying to determine how different people evaluate scientific articles. For the second study I believe the researchers were trying to evaluate how different people determine punishment in situations with limited information about the crime.,2,1,41.97279358,-87.66159821,-1
R_2qgUX7TUzmO6uUp,Default Response Set,Anonymous,,,141.217.228.102,0,3/11/15 9:39,3/11/15 9:46,1,1,1,1,1,1,0,0,52.607,0,4,4,1,2,1,0,0,40.565,0,1,2,2,3,,,,,,,,,,,,,,,,,,,1,1,5,6,2,3,2,3,1,3,4,3,2,1,2,2,1,1,1,3,2,2,4,2,3,2,4,4,2,4,1,1,2,22,1,,,,,,,,5,2,1,1,1,1,"For the articles, I think it may have had something to do with the language an article uses, and whether or not it is seen as ""scientific"" by readers. / For the juror study, it may have had something to do with how we hold people responsible for their actions.",2,1,42.37550354,-83.07720184,-1
R_1rJqXnuc5eJNYKB,Default Response Set,Anonymous,,,50.154.228.62,0,3/11/15 9:42,3/11/15 9:46,1,1,1,1,1,1,0,0,19.672,0,2,4,1,2,1,0,0,18.844,0,2,1,2,2,,,,,,,,,,,,,,,,,,,1,1,2,6,3,4,5,4,4,4,4,4,3,1,1,2,1,1,1,2,2,1,4,1,3,1,4,4,1,4,1,1,1,27,,,1,,,,,,6,1,3,4,4,2,How you view articles and make decisions.,1,1,25.98249817,-80.34339905,-1
R_26mzu2KENEYvonf,Default Response Set,Anonymous,,,173.171.204.161,0,3/11/15 9:33,3/11/15 9:46,1,1,1,1,1,1,12.033,76.68,78.407,4,3,4,1,2,1,2.314,100.291,101.463,3,4,4,1,2,,,,,,,,,,,,,,,,,,,1,1,3,5,5,5,4,5,4,4,5,4,1,2,1,3,1,1,1,3,3,1,4,1,3,1,4,4,1,4,1,1,1,63,1,,,,,,,,8,1,2,7,7,7,To understand opinions for both....,4,1,27.81520081,-82.62550354,-1
R_yOVlUHgoTRD623v,Default Response Set,Anonymous,,,68.188.244.162,0,3/11/15 9:29,3/11/15 9:46,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0.364,0.364,73.039,1,4,4,1,2,1,5.893,5.893,73.971,1,4,4,2,2,1,1,1,3,4,4,4,3,4,3,4,4,1,2,1,3,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,1,1,40,1,,,,,,,,6,2,2,2,2,2,I believe the research was about rehabilitation versus prison.,4,1,43.70530701,-84.23770142,-1
R_1PSquPSjmaAoF0J,Default Response Set,Anonymous,,,99.64.52.122,0,3/11/15 9:33,3/11/15 9:47,1,1,1,1,1,1,0,0,138.829,0,5,5,1,2,1,0,0,126.071,0,4,4,2,2,,,,,,,,,,,,,,,,,,,1,1,1,5,3,3,4,3,4,3,4,4,2,3,1,3,1,1,1,3,2,1,4,1,3,2,4,5,1,4,1,1,2,69,1,,,,,,,,7,4,2,5,5,4,Opinions on nuclear energy in the future and  punishment for a crime.,1,1,33.61410522,-101.9573975,-1
R_1LhLX8PAbdiSYMx,Default Response Set,Anonymous,,,38.96.155.53,0,3/11/15 9:33,3/11/15 9:47,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,5.742,5.742,77.48,1,4,2,2,2,1,3.383,3.383,36.139,1,3,2,2,2,1,1,5,6,4,4,3,4,3,3,4,2,2,1,2,1,2,1,2,2,1,3,2,1,1,3,2,3,2,1,1,1,2,30,1,,,,,,,,7,1,2,1,1,1,For the first - an avg person's comprehension of science articles. For the second - judgements and blame.,3,1,40.69810486,-73.95709991,-1
R_29ncgZKw6x1vUXk,Default Response Set,Anonymous,,,190.212.184.142,0,3/11/15 9:41,3/11/15 9:48,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,2.049,0,4,4,2,2,1,0,0,0.516,0,2,3,1,1,1,1,5,7,5,4,5,5,5,5,5,5,2,3,1,4,1,1,2,4,4,2,2,1,3,1,3,2,1,4,1,1,1,21,,,,1,,,,,6,2,2,3,2,5,Reading comprehension and decision making as a juror,1,1,12.15080261,-86.26830292,-1
R_3gRRhvtX2nK3vVh,Default Response Set,Anonymous,,,198.40.228.26,0,3/11/15 9:37,3/11/15 9:49,1,1,1,1,1,1,0,0,139.922,0,3,4,2,2,1,0.835,79.683,224.58,2,2,2,1,2,,,,,,,,,,,,,,,,,,,1,1,4,6,4,5,4,4,4,4,4,4,1,2,1,3,1,1,1,3,3,1,4,1,2,1,4,4,1,3,1,1,1,27,1,,,,,,,,5,1,2,6,5,6,I think the first study attempts to measure if a person can spot scientifically lazy 'facts' in articles. The second study attempts to measure the participant's view of incarceration as a punishment vs rehabilitation.,1,1,41.57780457,-90.5318985,-1
R_z0yX3lzGOK35IEp,Default Response Set,Anonymous,,,99.89.45.97,0,3/11/15 9:36,3/11/15 9:49,1,1,1,1,1,1,21.493,21.493,139.279,1,4,4,1,2,1,7.935,115.677,152.028,3,3,4,2,2,,,,,,,,,,,,,,,,,,,1,1,1,7,5,5,3,5,5,4,4,3,1,1,1,2,1,1,1,2,2,1,4,1,2,1,2,4,1,3,1,1,2,37,1,,1,,,,,,7,1,3,2,1,3,"I'm not sure - for the first two, perhaps the readability of the articles; for the second, perhaps our thirst for retribution.",1,1,41.60249329,-86.26429749,-1
R_1QsjBVASTpTAaVH,Default Response Set,Anonymous,,,66.215.43.167,0,3/11/15 9:40,3/11/15 9:50,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,2.759,0,3,4,2,2,1,0,0,7.273,0,3,2,2,2,1,1,3,6,4,4,4,4,4,4,4,3,1,2,1,2,1,1,1,1,2,1,3,1,1,1,2,4,1,1,1,1,1,21,1,,,,,,,,5,1,2,2,2,2,I think the purpose was to determine the way we feel regarding certain people.,4,1,34.36610413,-117.3204956,-1
R_3EVZBusaTsSKT3G,Default Response Set,Anonymous,,,4.34.119.198,0,3/11/15 9:46,3/11/15 9:51,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,0,0,3,3,2,2,1,0,0,0,0,3,3,2,1,1,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,23,1,,,,,,,,7,4,3,7,7,7,,3,1,40.97479248,-74.02469635,-1
R_d6Arolzm1M0MeKB,Default Response Set,Anonymous,,,76.5.111.92,0,3/11/15 9:36,3/11/15 9:52,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,155.226,0,5,5,1,2,1,0,0,145.478,0,5,5,1,2,1,1,2,7,5,5,2,5,5,5,3,4,1,1,1,2,1,1,1,3,1,1,3,1,3,1,2,3,1,2,1,1,2,30,1,,,,,,,,3,1,3,1,1,1,"I imagine they're both connected, the first 2 articles provided very interesting reading material about how much we/our brain is in control, and how our brain can actually be influenced by a machine/outside influence. It definitely gave me pause as I answered how 'in control' a criminal is of their actions (I imagine that was an intended effect of the study!) but I then answered with what I knew/believed to be true about personal responsibility.",5,1,40.769104,-82.53829956,-1
R_1iaOOsUhfyDYF3z,Default Response Set,Anonymous,,,23.124.220.159,0,3/11/15 9:51,3/11/15 9:52,1,1,1,1,1,1,1.258,1.258,1.536,1,4,3,2,2,1,0,0,1.232,0,3,4,1,2,,,,,,,,,,,,,,,,,,,1,1,5,4,3,1,4,3,4,3,3,3,3,5,3,5,3,1,5,3,1,4,3,5,2,2,3,3,2,3,3,1,1,26,1,,,,,,,,5,2,2,5,4,5,opanions study,2,1,42.17590332,-83.48069763,-1
R_3NEPCxKf4Hid0El,Default Response Set,Anonymous,,,75.142.19.77,0,3/11/15 9:33,3/11/15 9:53,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,293.848,294.075,305.109,2,1,3,2,2,1,0,0,219.454,0,2,4,2,2,1,1,2,7,4,5,3,5,3,3,3,1,1,1,1,1,1,1,1,1,1,3,5,1,2,1,4,5,1,1,1,1,2,61,1,,,,,,,,5,1,1,4,4,4,"I do not know. It took me a lot longer than 10 minutes because I am a slow reader, and you never know how much detail may be inquired about later, so skimming is not appropriate, often. In this case, i could have skimmed the articles. The second one was easier.",5,1,42.13859558,-124.2463989,-1
R_3iqj9N2Y1g1NoRb,Default Response Set,Anonymous,,,73.194.131.109,0,3/11/15 9:48,3/11/15 9:53,1,1,1,1,1,1,0,0,46.943,0,5,4,1,2,1,0,0,25.926,0,2,3,2,2,,,,,,,,,,,,,,,,,,,1,1,4,7,3,5,4,3,2,4,3,4,2,3,2,3,1,1,1,4,2,1,5,1,3,1,5,5,1,3,1,1,1,27,1,,,,,,,,7,2,2,3,1,4,How responders would process information in long-form articles,4,1,40.72090149,-74.04679871,-1
R_2TzS357HqJKHrZg,Default Response Set,Anonymous,,,96.246.252.75,0,3/11/15 9:42,3/11/15 9:54,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0.753,5.229,78.808,2,4,4,1,2,1,7.121,7.121,50.744,1,3,4,1,2,1,1,3,7,4,4,4,4,4,3,3,3,1,2,1,3,1,1,1,2,3,1,3,1,1,1,2,4,1,3,1,1,2,42,,,,1,,,,,,1,2,4,3,4,,3,1,40.73539734,-73.87830353,-1
R_2q2Wtop8FPQfzfH,Default Response Set,Anonymous,,,99.56.206.67,0,3/11/15 9:47,3/11/15 9:54,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,7.317,0,5,5,2,1,1,0,0,78.511,0,4,3,2,2,1,1,1,5,4,4,4,4,4,4,4,3,4,4,1,3,1,1,1,3,1,1,1,2,2,1,2,1,1,1,1,1,1,22,1,,1,,,,,,6,1,3,5,6,6,How well do people understand scientific study articles,4,1,34.102005,-117.386795,-1
R_1NzbHbbwowWfSxA,Default Response Set,Anonymous,,,104.236.136.116,0,3/11/15 9:45,3/11/15 9:54,1,1,1,1,1,1,2.113,53.69,54.93,6,5,4,2,2,1,2.112,24.672,86.551,8,2,2,3,3,,,,,,,,,,,,,,,,,,,1,1,3,6,4,5,4,4,3,4,4,3,2,4,1,2,2,1,1,3,2,2,3,2,3,2,3,4,2,3,2,1,1,26,1,,1,,,,,,7,3,1,6,7,6,How I react to situations,4,1,37.77490234,-122.4194031,-1
R_2wojeLfXlyRKXs5,Default Response Set,Anonymous,,,129.252.33.12,0,3/11/15 9:44,3/11/15 9:54,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,34.648,34.648,167.336,1,2,4,1,2,1,0,0,79.971,0,2,4,1,2,1,1,4,7,3,4,4,4,2,2,4,3,1,1,1,3,1,1,1,1,1,1,4,1,1,1,3,4,1,3,1,1,1,61,1,,,,,,,,9,1,3,3,2,3,Probably something having to do with culpability and free will.,3,1,33.99369812,-81.01989746,-1
R_CZBhyWEdhD6wgfv,Default Response Set,Anonymous,,,76.26.175.59,0,3/11/15 9:46,3/11/15 9:55,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,66.497,0,4,4,2,1,1,0,0,62.103,0,2,2,2,2,1,1,5,6,4,5,4,5,5,4,4,4,1,1,1,3,1,1,1,1,1,1,4,1,3,1,4,5,1,4,1,1,2,43,1,,,,,,,,6,1,4,2,1,6,I'm not really sure what it was for.,1,1,27.44309998,-80.38739777,-1
R_1DuPWf7uXmIDgaU,Default Response Set,Anonymous,,,173.8.67.154,0,3/11/15 9:47,3/11/15 9:55,1,1,1,1,1,1,0,0,88.343,0,3,4,2,2,1,0,0,143.542,0,1,2,3,2,,,,,,,,,,,,,,,,,,,1,1,3,7,4,5,3,4,3,4,2,3,1,2,1,2,1,1,1,2,2,1,3,1,1,1,4,4,1,2,1,1,2,22,1,,1,,,,,,7,1,4,2,1,3,not certain,4,1,38.0032959,-122.0317993,-1
R_1eQAW7Q8OlUNXaH,Default Response Set,Anonymous,,,108.73.38.3,0,3/11/15 9:47,3/11/15 9:56,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0.148,55.332,63.464,3,3,5,1,2,1,7.705,50.833,51.749,2,4,4,1,2,1,1,5,7,5,5,4,5,5,5,3,5,1,1,1,3,1,1,1,1,1,1,5,1,1,1,3,5,1,3,1,1,1,60,,,,1,,,,,8,5,4,6,5,6,The first was if I believe the scientific findings.  The second is if I believe people are always responsible for their actions.,5,1,29.30659485,-94.77230072,-1
